Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster
806,1047.5,4,2020-05-19,1702,0
809,3557.35,7,2019-11-06,1897,3
810,891.95,2,2016-06-13,3138,1
815,907.86,1,2017-12-13,2590,1
822,164.6,1,2017-03-16,2862,1
826,7885.01,18,2016-12-08,2960,2
828,3277.0,2,2019-01-04,2203,1
829,6793.86,17,2024-10-28,79,2
832,8767.08,6,2023-02-20,695,3
835,1335.7,2,2017-10-04,2660,1
836,201.0,1,2017-12-14,2589,1
840,310.0,1,2016-11-15,2983,1
844,1064.7,4,2019-06-27,2029,1
849,1671.68,4,2021-07-16,1279,0
850,12074.0,11,2023-03-30,657,2
852,6687.14,21,2024-07-31,168,2
854,1103.7,2,2023-04-24,632,0
855,12072.75,15,2024-10-07,100,2
858,400.0,1,2014-04-25,3918,1
861,8731.369999999999,7,2024-12-10,36,3
865,563.5,1,2017-10-18,2646,1
866,13992.369999999999,16,2023-04-12,644,2
868,7767.36,20,2024-12-06,40,2
869,4809.5,4,2018-06-06,2415,1
871,1681.5,6,2018-01-16,2556,1
875,226.0,1,2016-04-07,3205,1
877,1268.83,1,2023-03-15,672,0
880,691.6,2,2022-05-10,981,0
882,1326.5,5,2018-10-12,2287,1
884,995.0,1,2023-03-03,684,0
885,761.0,3,2019-09-10,1954,1
888,1813.5,2,2019-07-24,2002,1
889,11806.55,15,2021-10-04,1199,2
890,329.5,1,2017-06-06,2780,1
892,5759.4400000000005,11,2024-12-20,26,3
897,10817.48,13,2020-12-22,1485,2
898,1014.0,1,2016-01-17,3286,1
902,2488.5,4,2019-08-02,1993,1
905,684.0,2,2020-10-02,1566,0
910,946.0,2,2022-03-03,1049,0
911,3486.0,9,2022-10-07,831,3
915,3693.35,8,2018-12-10,2228,3
919,761.0,2,2019-03-08,2140,1
921,1420.0,3,2018-08-22,2338,1
922,317.7,1,2020-05-18,1703,0
924,10134.09,16,2024-10-24,83,2
929,1174.6,3,2018-03-20,2493,1
935,7424.610000000001,12,2023-02-06,709,2
936,712.0,1,2017-05-22,2795,1
937,1457.3,4,2018-10-29,2270,1
939,780.0,2,2019-02-13,2163,1
945,6057.85,13,2017-10-29,2635,3
946,2917.87,4,2017-08-29,2696,1
947,4087.84,13,2024-10-21,86,3
950,315.0,1,2020-09-21,1577,0
951,6528.02,7,2022-05-24,967,3
953,254.5,1,2021-07-15,1280,0
955,4898.0,2,2024-10-14,93,0
957,572.0,1,2016-10-25,3004,1
959,321.0,1,2019-07-09,2017,1
963,2388.0,2,2013-10-10,4115,1
966,1013.5,2,2021-05-28,1328,0
968,5079.6,15,2022-03-16,1036,2
971,6269.75,15,2024-11-25,51,2
973,2752.0,4,2019-04-15,2102,1
975,6716.9,10,2024-11-05,71,3
978,523.0,2,2017-05-09,2808,1
981,302.5,1,2018-05-02,2450,1
987,260.0,1,2016-11-08,2990,1
993,15631.86,14,2024-12-12,34,2
997,2279.3599999999997,2,2023-03-28,659,0
